cts,date,GPS (Lat.) [deg],GPS (Long.) [deg],GPS (Alt.) [m],GPS (2D speed) [m/s],GPS (3D speed) [m/s],fix,precision
0,2025-01-28T19:00:54.655Z,23.7239752,90.4108311,51.7284859634004,1.996,1.98,3,142
100.1,2025-01-28T19:00:54.748Z,23.7239723,90.410831,51.629485963400406,2.21,2,3,142
200.2,2025-01-28T19:00:54.842Z,23.7239708,90.4108303,51.5304859634004,2.342,2.21,3,142
300.29999999999995,2025-01-28T19:00:54.935Z,23.7239687,90.4108293,51.36048596340041,2.226,2.34,3,142
400.4,2025-01-28T19:00:55.029Z,23.7239673,90.4108289,51.2044859634004,2.27,2.23,3,142
500.5,2025-01-28T19:00:55.122Z,23.723966,90.4108285,51.1004859634004,2.317,2.28,3,142
600.6,2025-01-28T19:00:55.216Z,23.7239636,90.4108278,51.0394859634004,2.357,2.33,3,142
700.7,2025-01-28T19:00:55.309Z,23.7239614,90.4108271,51.004485963400406,2.299,2.37,3,142
800.8000000000001,2025-01-28T19:00:55.403Z,23.7239595,90.4108265,50.983485963400405,2.187,2.31,3,142
900.9000000000001,2025-01-28T19:00:55.496Z,23.7239576,90.4108258,50.9724859634004,2.15,2.21,3,142
1001,2025-01-28T19:00:55.590Z,23.7239561,90.4108255,50.971485963400404,1.949,2.17,3,142
1072.5,2025-01-28T19:00:55.668Z,23.7239544,90.4108251,50.9874859634004,1.913,1.97,3,142
1144,2025-01-28T19:00:55.747Z,23.7239525,90.4108247,50.964485963400406,1.899,1.93,3,142
1215.5,2025-01-28T19:00:55.825Z,23.7239504,90.4108246,50.9484859634004,1.928,1.92,3,142
1287,2025-01-28T19:00:55.904Z,23.723949,90.4108245,50.9334859634004,2.048,1.95,3,142
1358.5,2025-01-28T19:00:55.982Z,23.7239475,90.410824,50.91248596340041,2.173,2.07,3,142
1430,2025-01-28T19:00:56.061Z,23.7239467,90.4108237,50.956485963400404,2.087,2.19,3,142
1501.5,2025-01-28T19:00:56.140Z,23.7239445,90.4108228,50.953485963400404,2.135,2.11,3,142
