cts,date,GPS (Lat.) [deg],GPS (Long.) [deg],GPS (Alt.) [m],GPS (2D speed) [m/s],GPS (3D speed) [m/s],fix,precision
0,2025-01-28T18:23:03.650Z,23.7630068,90.4103517,4.067191635778784,3.225,3.24,3,156
55.611111111111114,2025-01-28T18:23:03.705Z,23.7630054,90.4103508,4.078191635778779,3.255,3.23,3,156
111.22222222222223,2025-01-28T18:23:03.760Z,23.7630042,90.4103497,4.050191635778781,3.241,3.26,3,156
166.83333333333334,2025-01-28T18:23:03.815Z,23.7630029,90.4103487,4.055191635778783,3.249,3.24,3,156
222.44444444444446,2025-01-28T18:23:03.870Z,23.7630017,90.4103477,4.049191635778783,3.197,3.25,3,156
278.05555555555554,2025-01-28T18:23:03.925Z,23.7630005,90.4103465,4.028191635778782,3.198,3.2,3,156
333.66666666666663,2025-01-28T18:23:03.980Z,23.7629993,90.4103453,4.058191635778783,3.182,3.2,3,156
389.2777777777777,2025-01-28T18:23:04.035Z,23.7629981,90.4103442,4.060191635778779,3.191,3.18,3,156
444.8888888888888,2025-01-28T18:23:04.090Z,23.762997,90.410343,4.09319163577878,3.133,3.19,3,156
500.4999999999999,2025-01-28T18:23:04.145Z,23.7629958,90.4103419,4.058191635778783,3.148,3.13,3,156
556.111111111111,2025-01-28T18:23:04.200Z,23.7629946,90.4103411,4.062191635778781,3.112,3.15,3,156
611.7222222222221,2025-01-28T18:23:04.255Z,23.7629936,90.4103398,4.119191635778783,3.029,3.11,3,156
667.3333333333331,2025-01-28T18:23:04.310Z,23.7629925,90.4103387,4.131191635778784,3.012,3.03,3,156
722.9444444444442,2025-01-28T18:23:04.365Z,23.7629914,90.4103376,4.16619163577878,2.987,3.01,3,156
778.5555555555553,2025-01-28T18:23:04.420Z,23.7629902,90.4103365,4.167191635778785,3.012,2.99,3,156
834.1666666666664,2025-01-28T18:23:04.475Z,23.7629891,90.4103352,4.147191635778782,3.054,3.01,3,156
